domain                    problem      ipc6      hlb  sol     best    sbest
barman-sat11-strips       pfile06-021  --         66    0      279      282
barman-sat11-strips       pfile06-022  --         66    0      259      263
barman-sat11-strips       pfile06-023  --         57    0      274      278
barman-sat11-strips       pfile06-024  --         65    0      281      284
barman-sat11-strips       pfile07-025  --         67    0      297      307
barman-sat11-strips       pfile07-026  --         66    0      322      326
barman-sat11-strips       pfile07-027  --         64    0      305      307
barman-sat11-strips       pfile07-028  --         67    0      290      305
barman-sat11-strips       pfile08-029  --         67    0      348      355
barman-sat11-strips       pfile08-030  --         70    0      323      329
barman-sat11-strips       pfile08-031  --         69    0      354      356
barman-sat11-strips       pfile08-032  --         67    0      334      340
barman-sat11-strips       pfile09-033  --         69    0      396      404
barman-sat11-strips       pfile09-034  --         70    0      372      380
barman-sat11-strips       pfile09-035  --         69    0      387      389
barman-sat11-strips       pfile09-036  --         69    0      386      395
barman-sat11-strips       pfile10-037  --         70    0      383      396
barman-sat11-strips       pfile10-038  --         70    0      380      383
barman-sat11-strips       pfile10-039  --         70    0      387      395
barman-sat11-strips       pfile10-040  --         73    0      356      366
elevators-sat11-strips    p01          p14         0    0      191      194
elevators-sat11-strips    p02          p24         0    0      417      465
elevators-sat11-strips    p03          p26         0    0      464      480
elevators-sat11-strips    p04          p20         0    0      256      268
elevators-sat11-strips    p05          p18         0    0      253      268
elevators-sat11-strips    p06          p27         0    0      513      557
elevators-sat11-strips    p07          p25         0    0      409      503
elevators-sat11-strips    p08          p28         0    0      505      536
elevators-sat11-strips    p09          p29         0    0      671      681
elevators-sat11-strips    p10          p30         0    0      602      708
elevators-sat11-strips    p11          --        103    0      635      844
elevators-sat11-strips    p12          --         94    0      691      784
elevators-sat11-strips    p13          --        102    0      992     1043
elevators-sat11-strips    p14          --        103    0      804      891
elevators-sat11-strips    p15          --         96    0      923     1065
elevators-sat11-strips    p16          --        170    0      891      945
elevators-sat11-strips    p17          --        193    0     1066     1092
elevators-sat11-strips    p18          --        178    0     1148     1165
elevators-sat11-strips    p19          --        186    0     1417     1475
elevators-sat11-strips    p20          --        192    0     1386     1510
floortile-sat11-strips    seq-p01-001  --         49    1       49       51
floortile-sat11-strips    seq-p01-002  --         52    1       52       54
floortile-sat11-strips    seq-p02-003  --         63    1       63       65
floortile-sat11-strips    seq-p02-004  --         77    1       81       83
floortile-sat11-strips    seq-p03-005  --         63    1       63       65
floortile-sat11-strips    seq-p03-006  --         64    1       66       68
floortile-sat11-strips    seq-p04-007  --         75    0      102      176
floortile-sat11-strips    seq-p04-008  --         72    0       83       87
floortile-sat11-strips    seq-p05-009  --         83    0      Inf      Inf
floortile-sat11-strips    seq-p05-010  --         82    0      Inf      Inf
floortile-sat11-strips    seq-p06-011  --         82    0      136      Inf
floortile-sat11-strips    seq-p06-012  --         86    0      Inf      Inf
floortile-sat11-strips    seq-p07-013  --         88    0      Inf      Inf
floortile-sat11-strips    seq-p07-014  --         91    0      Inf      Inf
floortile-sat11-strips    seq-p08-015  --        104    0      Inf      Inf
floortile-sat11-strips    seq-p08-016  --        104    0      Inf      Inf
floortile-sat11-strips    seq-p09-017  --        114    0      Inf      Inf
floortile-sat11-strips    seq-p09-018  --        114    0      Inf      Inf
floortile-sat11-strips    seq-p10-019  --        135    0      Inf      Inf
floortile-sat11-strips    seq-p10-020  --        130    0      Inf      Inf
nomystery-sat11-strips    p01          --         18    1       18       19
nomystery-sat11-strips    p02          --         21    1       21       22
nomystery-sat11-strips    p03          --         25    1       25       26
nomystery-sat11-strips    p04          --         28    1       28       29
nomystery-sat11-strips    p05          --         34    1       34       35
nomystery-sat11-strips    p06          --         36    1       36       37
nomystery-sat11-strips    p07          --         40    1       40       41
nomystery-sat11-strips    p08          --         40    1       40       41
nomystery-sat11-strips    p09          --         45    1       47       49
nomystery-sat11-strips    p10          --         48    1       49       50
nomystery-sat11-strips    p11          --         18    1       18       19
nomystery-sat11-strips    p12          --         21    1       21       22
nomystery-sat11-strips    p13          --         25    1       25       26
nomystery-sat11-strips    p14          --         28    1       28       29
nomystery-sat11-strips    p15          --         34    1       34       35
nomystery-sat11-strips    p16          --         36    1       37       38
nomystery-sat11-strips    p17          --         40    1       40       42
nomystery-sat11-strips    p18          --         40    1       40       42
nomystery-sat11-strips    p19          --         45    0       47       49
nomystery-sat11-strips    p20          --         48    1      Inf      Inf
openstacks-sat11-strips   p01          p21         0    0        6        7
openstacks-sat11-strips   p02          p22         0    0       14       15
openstacks-sat11-strips   p03          p24         0    0        9       10
openstacks-sat11-strips   p04          p25         0    0       19       20
openstacks-sat11-strips   p05          p26         0    0       14       15
openstacks-sat11-strips   p06          p27         0    0       19       20
openstacks-sat11-strips   p07          p20         0    0       10       11
openstacks-sat11-strips   p08          p28         0    0       32       33
openstacks-sat11-strips   p09          p29         0    0       29       30
openstacks-sat11-strips   p10          p30         0    0       30       32
openstacks-sat11-strips   p11          --          3    0       32       33
openstacks-sat11-strips   p12          --          4    0       97      100
openstacks-sat11-strips   p13          --          3    0       38       46
openstacks-sat11-strips   p14          --          4    0      124      127
openstacks-sat11-strips   p15          --          3    0       72       75
